id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
72152,Aarakshan,Drama-Thriller,hi,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,4.337,Prakash Jha Productions-Base Industries Group,12-08-2011,6100000,7900000,164,Released,,6.1,32,Amitabh Bachchan-Saif Ali Khan-Deepika Padukone-Manoj Bajpayee-Prateik Babbar-Aanchal Munjal-Hema Malini-Tanvi Azmi-Mukesh Tiwari-Yashpal Sharma-Darshan Jariwala-Rajeev Verma-Saurabh Shukla-Sonal Jha-Sumeet Vyas,parent child relationship-demonstration-education-mathematics-politics-prejudice-teacher-tutor-loan-affirmative action-social activism,/k12sBKy7TeffzGxWihNnwWX1cvH.jpg,,
285803,Singham Returns,Action,hi,Singham Returns is an Indian action film directed by Rohit Shetty and produced by Reliance Entertainment. The sequel to the 2011 film Singham actor Ajay Devgn reprises his role from the previous film as well as co-producing the project while Kareena Kapoor Khan plays the female lead.,4.331,Reliance Entertainment-Ajay Devgn FFilms,15-08-2014,0,0,142,Released,,6.2,72,Ajay Devgn-Kareena Kapoor Khan-Amole Gupte-Anupam Kher-Vineet Sharma-Dayanand Shetty-Zakir Hussain-Mahesh Manjrekar-Sameer Dharmadhikari-Pankaj Tripathi-Ashwini Kalsekar-Sharat Saxena-Govind Namdeo,sequel-police officer-cop universe,/k8CDjZLYG8bCIuXWAg4gukxf0BE.jpg,/hnlz8e3ihoZDyKGrasaaCH1aqSn.jpg,70590-32740-360814-276935-280690-277432-348892-25516-370665-14070-297222-377985-352173-472123-376812
219343,Lucia,Fantasy-Romance-Thriller,kn,A man suffering from insomnia is tricked into buying a drug Lucia that makes his desires come true in his dreams blurring the line between fantasy and reality.,4.331,,19-10-2013,79000,170000,136,Released,,7.2,43,Sathish Ninasam-Sruthi Hariharan-Achyuth Kumar-Hardika Shetty-Balaji Manohar-Poornachandra Mysore-Lalipalya Mahadev-Pawan Kumar-Narayan Bhat-Rishab Shetty-Prashanth Siddi,hallucination-insomnia-unreliable narrator,/svn981N5s5OUuaBnXwXvteXnhXY.jpg,/oTZVwImwOOlxgusXjqPyQm2kkjD.jpg,
784696,Sarkaru Vaari Paata,Action-Drama,te,Mahesh a money lender is swindled by a gambling addict called Kalaavathi in the US. While he comes to India to collect his debt he decides to stay back and do his bit for the country's financial health.,4.307,G. Mahesh Babu Entertainment Pvt. Ltd-Mythri Movie Makers-14 Reels Plus,11-05-2022,0,0,162,Released,,5.7,15,Mahesh Babu-Keerthy Suresh-Samuthirakani-Vennela Kishore-Subbaraju-Nadhiya-Posani Krishna Murali-Sowmya Menon-Tanikella Bharani-Ilez Badurgov-Brahmaji-Satyam Rajesh-Mahesh Manjrekar-Ajay-Ravi Prakash-Duy Beck-Nitika Rozenko-Nagendra Babu-Prabhas Sreenu-Sanjay Swaroop-Anish Kuruvilla-Bhupal Raju,loan-superstar-tollywood-telugu-indian financial system,/jFwdKKDmgzKjZGFnSJma7I5XMpk.jpg,/jNcf5p8y7CieOu9uHYzTVm1Qgtm.jpg,725201
330431,NH10,Crime-Action-Drama-Thriller,hi,Meera and Arjun are professionals living in Gurgaon. On their way to a luxurious desert holiday they stop on a Highway dhaba for dinner where they witness a young girl being picked up by a bunch of hoodlums. Arjun chooses to step in unmindful of the danger ahead.,4.279,Eros International-Phantom Films-Clean Slate Films,12-03-2015,200000,5100000,115,Released,No Turning Back,6.8,66,Anushka Sharma-Neil Bhoopalam-Deepti Naval-Darshan Kumaar-Ravi Jhankal,killing-fight-gang-hitchhiker,/1PPUgbQE9UVrgPyMif8urLSIKWb.jpg,/4CU1w0Aga2m4ukO43uvhlxq9SDz.jpg,250574-496331-418235-186929-913290
957136,Operation Romeo,Drama-Thriller,hi,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,4.271,Reliance Entertainment-E4 Entertainments-Friday Filmworks-Plan C Studios,22-04-2022,0,0,135,Released,,5.3,3,Sidhant Gupta-Vedika Pinto-Sharad Kelkar-Bhumika Chawla-Kishore Kadam,,/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,/nKDxMlDSQfiFuJSwbwG5q1BLQmi.jpg,605153-913532
743382,Serious Men,Drama-Comedy,hi,Tormented with his 'under-privileged' societal status a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.,4.265,Bombay Fables-CineRaas Entertainment,02-10-2020,0,0,115,Released,,6.8,25,Nawazuddin Siddiqui-Nassar-Indira Tiwari-Aakshath Das-Sanjay Narvekar-Shweta Basu Prasad,based on novel or book-อัจฉริยะหน้าตาย,/vRrVmiXapjHAcc3tW7wvY5n3WLi.jpg,/w083lWLiFv8JTBYJBI44FlJVapO.jpg,
100681,Shanghai,Drama-Thriller,hi,Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,4.257,PVR Pictures,08-06-2012,0,4900000,120,Released,,6.7,41,Abhay Deol-Emraan Hashmi-Kalki Koechlin-Prosenjit Chatterjee-Supriya Pathak-Pitobash-Farooq Shaikh-Tillotama Shome-Chinmay Mandlekar-Anant Jog-Scarlett Mellish Wilson,,/h7KARKXhhcV5KZKRsNZLCBXzF2U.jpg,/hkkbP02FiHJRCv9UOhBz3r5lVHM.jpg,760336-9388
706783,Choked: Paisa Bolta Hai,Drama-Crime-Thriller,hi,A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.,4.248,Good Bad Films,05-06-2020,0,0,114,Released,,6.3,27,Saiyami Kher-Rajshri Deshpande-Amruta Subhash-Roshan Mathew-Uday Nene-Upendra Limaye-Tawhid Rike Zaman-Tushar Dalvi-Milind Phatak,,/i6wXrxq1CGfHn7qVckZt6FmLSxB.jpg,/6jCOU7gnjS1z8izCwRrdHn0CXwq.jpg,
801505,Varudu Kaavalenu,Family-Romance-Drama,te,Bhoomi’s mother wants her to get married soon but she’s particular about what she wants. Akash returns to India after a successful stint abroad and while these opposite poles attract will they make it work?,4.247,Sithara Entertainments,29-10-2021,0,0,133,Released,,8.125,4,Naga Shaurya-Ritu Varma-Murali Sharma-Nadhiya-Vennela Kishore-Praveen-Harshavardhan-Kireeti Damaraju-Mahesh Achanta-Vaishnavi Chaitanya-Siddhiksha-Arjun Kalyan-Saptagiri-Jayaprakash-Satya-Anand-Kalyani Natarajan-Himaja-Pammi Sai-Rohini-Sivannarayana Naripeddi-Alekhya Harika,,/4J7zfkZBUDADKQdehSwFync1BR0.jpg,/4OWjaj13K6gRFMuE9SnjfQp00Eg.jpg,
